sentence,label
ব্যক্তিগত মূহুর্তগুলো ফেসবুকে শেয়ার করাটা আদৌ সমীচীন কিনা ।,না
আমি কমেন্ট করতেনা পড়তে আসছি কারণ এখানে ওনেক আল্লাহ ওয়ালা লোক পাওয়া যায়।,না
"অনেকে মনে করে, সবাই মিলে একসাথে মারলে কোন বিচার হয়না। এই ধারণা কি ঠিক?",না
প্রতিবেশী দেশ হলেও দুই দেশের মধ্যে উদ্ভাবন ও গবেষণায় কেন এতো পার্থক্য ।,না
"বাংলাদেশের শীর্ষস্থানীয় দুইজন চিকিৎসক পরামর্শ দিয়েছেন, ডেঙ্গুজ্বরে আক্রান্ত হলে কী করবেন?",না
সুপার হিরোরা এসেছে কোথা থেকে?,না
"বয়স যখন ষাটে' শুধু সিনেমা নয়, ঢাকার টেলিভিশন আর মঞ্চের তারকাদের নিয়েও ব্যঙ্গ বিদ্রুপ করা হতো।",না
জনপ্রিয় প্রায় ১০টি ব্র্যান্ডের ডিটারজেন্ট পাউডার পরীক্ষা করে এক গবেষকের রিপোর্ট ।,না
নদীমাতৃক বাংলাদেশে নানান রকম নৌকা দেখা যায় ।,না
মশা নিয়ে রাজনীতি না করার আহবান জানিয়েছেন ঢাকা দক্ষিণ সিটি কর্পোরেশন মেয়র সাঈদ খোকন ।,না
যৌন হয়রানির বিষয়ে শিশুর সাথে কীভাবে কথা বলবেন?,না
বাংলাদেশে ডেঙ্গু পরিস্থিতির ক্রমশ অবনতি হচ্ছে এবং প্রতিনিয়ত বাড়ছে রোগীর সংখ্যা। ঢাকার হাসপাতালের পরিস্থিতি দেখে এসেছেন বিবিসি বাংলার সংবাদদাতা।,না
আপনি অনেক ভাল মানুষ ।,না
স্বাস্থ্য অধিদপ্তরের হিসাবে ডেঙ্গুতে আক্রান্ত হয়ে এ পর্যন্ত মারা গেছেন ৮ জন। যদিও বাংলাদেশের গণমাধ্যমে বলা হচ্ছে ডেঙ্গুতে আক্রান্ত হয়ে এ বছর মৃতের সংখ্যা অন্তত ২৬ জন।,না
ভয়াবহ বিপজ্জনক এসব বর্জ্যের মধ্যে মৃত মানুষের অঙ্গ-প্রত্যঙ্গও রয়েছে বলে অভিযোগ করা হচ্ছে।,না
নতুন গবেষণা বলছে বাবা-মায়েরা চাইলেই বাচ্চাদের উদ্বিগ্ন হওয়ার মাত্রা কমিয়ে আনতে পারবেন।,না
"বর্তমান সরকারের শুরু থেকেই, অধিকাংশ অপরাধের সাথে সরকারি দলের লোক জন জড়িত থাকায়, কোন বিচার হয় না। কিছু কিছু বিচার হলেও, রায় কার্যকর না হওয়ায় দেশের মানুষ বিচারহীনতায় ভূগছে।অাইনের প্রতি মানুষের শ্রদ্ধা, বিশ্বাস কোনটাই নাই। মানুষ ধরেই নিয়েছে এ সরকারের অামলে বিচার পাবো না।তাই এমনটা হচ্ছে।",না
এর একটাই কারণ অব্যাহত বিচারহীনতা এবং আইনের শাসনের অভাব।,না
দেশে আইনের ফাকফোকর বেশি তাই বিচার হয়না ।,না
এ-ই টা ঠিক কখন যখন বিশ্বজিৎ কে কুপিয়ে যারা  হত্যা করছে তখন গোনো পিটুনি দিয়ে সেই সকল সন্ত্রাসী দের কে মেরে ফেলা উচিত ছিলো ।,না
২০০৬ এর ২৮ শে অক্টোবর থেকেই হচ্ছেনা।,না
ধারণা ঠিক না। আমার মনে হয় বিচার আজও হয়নি তাই জনতা এটা অস্ত্র হিসেবে নিয়েছে।,না
"তাকে বলে দিও, মানুষের মন-মানসিকতার পরিবর্তন না ঘটলে এসব কুসংস্কার থেকে মুক্তি মিলবেনা ।",না
আরিপের এর ছবি দেখার পরেও যদি আপনার মুখে গালাগালি না আসে তাহলে আপনি নয়ন বন্দোর লেভেলে চলে গেছেন ।,হ্যাঁ
"সকাল টা শুরু হলো বান্দিরপুতের মুখ দেইখা  ভাবছিলাম চাকরির ইন্টারভিউ দিতে যাবো একটা, ইন্টারভিউ চুইদ্দা গেল আমার । ",হ্যাঁ
জাতীয় আবাল পুরস্কার পাওয়ার  ব্যবস্থা করে দিতেছি তরে।কয়েকটা দিন অপেক্ষা কর মাদারচোদ ।,হ্যাঁ
গাজার অভাবে মাইয়ার পুটকির গন্ধ নিতাছে আংগো আরিপ বাই। ,হ্যাঁ
মেয়েধরা অারিপ্পা। ,হ্যাঁ
"তোর শুটিং এর ছবিই দেখি সবসময়। কিন্তু পর্ণহাবে একটা ভিডিও নেই তোর?? কোথায় ছাড়িস বলতো ভিডিওগুলো??  আর, আমারে টপ ফ্যান বানাইছস ক্যান খানকি মাগি???",হ্যাঁ
একটা জিনিস বলতো মান্দির পুত তুর পেজে দেখি সব সময় ।,হ্যাঁ
আলার পুয়ালা,হ্যাঁ
নাসার এক বিঙ্গানী জানিয়েছেন যে তারা তোমার বিচি নিয়ে গবেষণা করবে। কারণ তাদের সন্দেহ তোমার বিচির মধ্যে নাকি আলাদা ব্রেইন আছে। তোমার বিচি গুলো নাসার লোকজন এসে কেটে নিয়ে যেতে পারে।,হ্যাঁ
কুত্তাসোদা। ,হ্যাঁ
মাদারটেক আমি কেমনে তর টপ ফেন হইলাম।,হ্যাঁ
কেউ আবার এসব কথা সিরিয়াসলি নিয়েন না। সালায় একটা আস্তা মাদারচোদ।,হ্যাঁ
বাহ্ মাদারী  বাহ্ ।,হ্যাঁ
মাগি।,না
কি মাদারচুদ ।,হ্যাঁ
ঠেলাঠেলী করবেন না!  সবাই গালি দেওয়ার সুযোগ পাবে ।,হ্যাঁ
চশমা টা তর পাছার ভিতরে ভরে দেওয়া উচিত  সালা।।,হ্যাঁ
মাদারিরপুত...তোর বীচি দিয়া কুতকুত খেলমু খানকিখোর ।,হ্যাঁ
মান্দিরপু তোরে দেখলে মাথা খারাপ হয়ে যায় ।,হ্যাঁ
চোদা খাইছ জিবনে?,হ্যাঁ
"গালি শুনতে শুনতে ছেলেটি বড় হয়ে যাচ্ছে ""কিন্তু জাতি অর রিপ্লে পায়নি কোন কমেন্টের  ।",হ্যাঁ
সবাইকে স্বাগতম গালিময়  সন্ধ্যায়।,হ্যাঁ
গালিগুলো জোশ হচ্ছে না ।,হ্যাঁ
এই রকম খোমার ছবি দেখার পরেও যদি আপনার মুখে গালাগালি না আসে।,হ্যাঁ
তার আগেই তর কমেন্টবক্স গালিতে বরিয়া যায় ।,হ্যাঁ
ভাভাগো ।,হ্যাঁ
এত ট্যালেন্ট রে বাবা! একে  পর্ণ মুভির নায়ক।,হ্যাঁ
"যুব সমাজ আজ পথভ্রষ্ট মনে তাদের গোপন কষ্ট পক্ষীর বিচি টিপে তোকে মারতে পারলে, হবে তারা সন্তুষ্ট।।",হ্যাঁ
তোর বিচি টিপে মারতে পারলেই হতাম সন্তুষ্ট।,হ্যাঁ
বিশ্বাস কর ভাই রেজাল্ট এর টেনশন এর চুদনে থাকতি পারি না তাত উপর তুর পুটকির লাহান খোমা দেইখা  আমার খানার লগে হাগাও বন্ধ হই গেছে। কুত্তার ঠাডা পড়ুক তুর  এই পুটকিতে থুক্কু মুখে।,হ্যাঁ
তোমার মালে শুক্রানু কমে গেছে বোক্সোদ...‼,হ্যাঁ
"তোর পার্টনার জনি সিন্স এরপরেও তোরে ছেড়ে যাবে না এই ব্যাপারে জনগণ শতভাগ,আশাবাদী।",হ্যাঁ
"তোর মুখের লগে বিচি আর ধনের কি হবে সেটাও একবার দেখাইতি। ওহ ভুলে গেসিলাম, তোরত দুইটাই নাই!",হ্যাঁ
কমেন্ট পড়া শেষ হলে হাত ধুয়ে নিবেন আর হ্যা কোনো ফহিন্নি রে।,হ্যাঁ
পুরা কাউয়াচোদার মত লাগতাছে।,হ্যাঁ
"কেন রে, তোর মাসিক হইলো নাকী ।",হ্যাঁ
তরে সি ফাস্ট দিয়া রাখছি যাস্ট ১ টা গালি দিমু বইলা  বাট আজ পযন্ত সবার আগে গালি দিতে পারলাম না।,হ্যাঁ
যখন বিচি টেবিলে রাইখা এক বাড়ি দিলে।,হ্যাঁ
সারাজীবন মানুষের গালাগালি শুনার জন্য।,হ্যাঁ
মাদারটেক আমি কেমনে তর টপ ফেন হইলাম।,হ্যাঁ
আরিফের বিচির উপরিভাগ পদ্মা সেতুতে দান করা হক।,হ্যাঁ
তরে যদি রিফাত শরিফের মত কুবাইতে পারতাম জাতি নিশ্চয় একটা বিচি ছারা পাঠা মুক্ত হইত ।,হ্যাঁ
ভাই তুই মরে যা এতে করে কিছু মানুষের পাপ কমবে যে পরিমান পাবলিক তরে গালি দেয় তাতে করে সবগুলা জান্নাতের দরজা বন্ধ।,হ্যাঁ
আমার জীবনে শুধু একটা কস্ট তোর বিচি টিপে মারতে পারলেই হতাম সন্তুষ্ট।!,হ্যাঁ
তোর পাও উপরে দিয়া মাথা নিচে দিয়া পিডান লাগে।,হ্যাঁ
দুই বাড়া একসাথে ।,হ্যাঁ
বাবা মেয়েকে এক সাথে অমায়িকচোদা লাগছে।,হ্যাঁ
মিশার পাশে ঘুরিও না বেশি পোন মেরে দিবে ।,হ্যাঁ
জাষ্ট নাউতে গালাগালি।,হ্যাঁ
তুই কি মানুষ হবিনা?,হ্যাঁ
মন্তব্য পড়ার জন্য এসেছি।,হ্যাঁ
যে নায়িকার সাথে সেলফি তুলোস তার ক্যারিয়ারে বাঁশ যায় না হয় মুভি ফ্লপ খায়!হালা চাইনিজ মাংকি! পূজার ক্যারিয়ার নিয়ে ভয় হচ্ছে! তর নতুন নাম কুফা আরিফ।,হ্যাঁ
"আরিফ ভাই আপনার জন্যে মন থাইকা ভালোবাসা রইল। লাভ ইউ বস  ।  এই যুগেও মিডিয়া তে কাজের মেয়েদের সুযোগ করে দিচ্ছেন, এইটাই বা কয়জনে পারে।",হ্যাঁ
"পদ্মা সেতুর জন্য বলে মানুষের মাথা দরকার,  তাহলে এই ছাগলটাকে বাচিয়ে রাখছে কেনো?",হ্যাঁ
পেছন থেকে পুজার গার্ড সম্ভবত ধাক্কা মারতেছে। মনে হচ্ছে সেলফীটা ছ্যাচড়ামি করে তোলা।,হ্যাঁ
"এই অমানুষের বাচ্চা খবিশ, এই সময়টাতেই তোর ফডু আপ্লোড দেয়া লাগ্লো ।",হ্যাঁ
"কোন দেশে জন্মাইলাম রে ভাই  ৫ মিনিট পর পর মাথায় হাত দিয়ে চ্যাক করতে হয়, কল্লা আছে কিনা? ",হ্যাঁ
বাহ দুইটা পাডারে একসাথে একই ফ্রেমে খুবই সুন্দর মানাইছে ।,হ্যাঁ
"বাইরে বৃষ্টি,প্রসুর বৃষ্টি মন ভালো না,,তবুও শাওয়ার নাতিরে দেখাই লাগল।ভক্সোদের মাথাটা বিনা হিসাবে পদ্মা সেতুতে দান করা যায় না??",হ্যাঁ
"আপনাদেরকে বিশেষভাবে অনুরোধ করছি, দয়া করে কেউ বানান ভূল করবেন না ধন্যবাদ সবাইকে, গালাগালি অবিরাম ।",হ্যাঁ
"বৃষ্টিতে ভিজে ভিজে কমেন্ট পড়ার জন্য চলে আসলাম! আপনাদেরকে বিশেষভাবে অনুরোধ করছি, দয়া করে কেউ বানাং বুল করবেন না। ",হ্যাঁ
বাংলাদেশে  এমন ধারণা করাটা মোটেও ভুল নয় ৷ যদিও দুয়েক জনকে ধরে অমুক দলের তমুক বলে বিচার করা হয় ।,না
"না, মোটেই ঠিক নয়। আইন নিজের হাতে তুলে নেওয়া যায় না ।",না
কথাটা ঠিক এই কারনেই মানুষ গনপিটুনিতে এত বেশী আগ্রহী হয়ে উডেছে ।,না
এইসব ঘটনায় বেশিরভাগ সময় সরকারি দলের লোকেরা অংশগ্রহন করে তাই বিচার হয় না।,না
যে দেশে খুনের প্রধান সাক্ষী কে রিমান্ডে নিয়ে নির্যাতন করা হয় সে দেশে গণপিটুনি বিচার চাওয়া কতটুকু যৌক্তিক ।,না
বাংলাদেশে বন্দুক যুদ্ধের বিচার হয়না কেন।,না
প্রতি হিংসা কারুনে দেখুন অনেক সময় এক দল আরেক দল কে দোসারপ করে এই জন্য অপরাধী শাস্তি পায় না ।,না
বাংলাদেশ পলিটিক্সের নতুন আবিষ্কার  গায়েবি মামলা করা যেতে পারে। এভাবে সরকার বিরোধীদের সায়েস্তা করতে পারে ।,না
বাংলাদেশে বিচার নাই। কোন টার বিচার করছে  সরকার। সব কানে রাজ নৈতিক মানুষ  জরিত।,না
"দিনের আলোতে কুপিয়ে হত্যা করলে যেদেশে বিচারের নামে প্রহসন হয়, সেদেশে কিছু আশা করা বোকামি নয় কি?",না
এই মিরতু মেনে নেওয়া জায়না মা হারা সন্তান আজও কাঁদে ।,না
কোন অপরাধের বিচারটা হয় শুনি। বিগত বছরে কতজন শিশু ধর্ষন হয়েছে তার  হিসাব নেই।.খুন কতজন হলো। .গনপিটুনিতে মাড়া গেলো কোন হিসাব নেই। মাঝ খান থেকে বিনা বিচারে ক্রসফায়ার দিয়ে কিছু মানুষকে মাড়া হলো সন্ত্রাসী নাম দিয়ে।সত্যিই যদি সন্ত্রাসী হয় তাহলে তাদের একজনকেও কেন বিচার ব্যাবস্থার সামনে দাড় করানো গেলো না ।ভারতে মুম্বাই হানাতে কয়েকশো মানুষের মৃত্যুর পরেও আজমল কাসব কে পুলিশ জেলে ভরেছে।তার বিচার হয়। এবং তাকে বিচারের মাধ্যমেই ফাঁসির আদেশ দেওয়া হযেছে ।এটাই পার্থক্য।,না
"বাংলাদেশে আইন আছে, কিন্তু আইনের বাস্তবায়ন নেই। ",না
অসুস্থ মনের যারা তারাই মনে করে সবাই মিলে পিটালে কিছু হবেনা।,না
সেই যুগ চলে গেছে।,না
এমন করে নিরিহ মানুষ মারার অধিকার তাদের  কে দিল ।,না
নিউজ ফিড খুললেই শুধু গুজব আর গুজব।,না
ছোট শিশু টি  টা মায়ের কোল ছাড়া থাকতে কতো কষ্ট হচ্ছে।  এটা কেউ বুঝতে পারবেন না ।,না
ইনশাল্লাহ এবার হবে ।,না
আমাদের দেশের জনগন খুব সরলতো তাই।,না
জি অনেকটা এরকমি ।,না
মজার দেশে আমরা ।,না
আমাদের  বুঝতে হবে ।,না
ওরা খারাপ। ,না
দারুন ।,না
পিঠে নাম লিখা আজন্ম কাছাকাছি থাকবো কিন্তু আমাকে কখনো দেখতে পাবেন না।এই অংশটা বুকে তুফান তুলার জন্য যতেষ্ট। ,না
মাসের পর মাস গেল কাজের কাজ কিছুই করতে পারলেন না। ,না
আল্লাহর গজব যে কোন সময় আমাদের সহ্য করতে প্রস্তুত থাকতে হবে। ,না
বাড্ডায় গণপিটুনীতে নিহত তাসলিমা বেগম রেনু। ,না
হেড মাস্টারকে আইনের আওতাই আনা হউক।,না
মেয়েটার জন্য খারাপ লাগে তার জীবনটা কি হবে।,না
দায়িত্ব অনেক কঠিন ।,না
আপনি একজন সম্মানিত ব্যক্তি সম্মান সহকারে কথা বলেন  ।,না
পাছারব্যথা সামলাইয়াও যে মঠেল আরিফ হাসিমুখে দাত কেলাইয়া ছবি তুলছে এইটা প্রসংসার দাবিদার ।,হ্যাঁ
"২টা বাইঞ্চোদের মাথা আছে...যারা মাথা খুজে সেতুর জন্য, তাদের এখানে মেনশন দে মাথা দুইটা সেতুতে দিয়া দেশ থাইকা ২টা পাডা কমিয়ে দেশের উন্নয়ন করুক ।",হ্যাঁ
কান হেলালের সাথে কবে সেল্ফি তুলবি। খুব ইচ্ছা তদের এক সাথে গাইল্লাইবার,হ্যাঁ
মডেল মাদরিচুদ খান,হ্যাঁ
ইচ্ছা করতাছে দরজার চিপায় নিজের বিচি দুইটা রাইখা হাল্কা চাপ দিয়া চমকে উঠি,হ্যাঁ
আর গালি দিবো না। টপ ফ্যান বানায় প্রতিশোধ নিয়ে নেয় হালায়,হ্যাঁ
ইচ্ছা করতাছে দরজার চিপায় তোর বিচি দুইডা রাইখা চাপ দেই....,হ্যাঁ
এই বর্ষায় পাগলার চুলকায়,হ্যাঁ
তরে গালি দিলেও সমস্যা,হ্যাঁ
শ্লার এত্ত গুলা মাথা লাগে পদ্মা সেতুতে।। আরিপ্পার নুনুর মাথা টা কেঠে ওখানে দেইনা কেন,হ্যাঁ
"আর চিরিয়াকানা জাবো না, জানোআর দেকা সেস।   দুই শুওরমুকি বেবুন এর চেহারা দেকে আমার চক্কু উটে গেচে। ফ্রেন্ডস এর ফিবির মত বলতে হচ্চে, ""মাই আইস!!.. মাই আইস"".....",হ্যাঁ
তর পোদে ডিজেল ফ্যাক্টরি দিমু  যাতে বাসোডিল যাইতে না আটকায়।,হ্যাঁ
আরিপ্পা বান্দির ছাওয়াল আমারে টপ ফেন দে হারমী।,হ্যাঁ
বাশ বাগানের মাথার উপর চাঁদ উঠেছে ঐ...আরিপের যায়গায় আরিপ আছে...আরিপের বিসি গেলো কই,হ্যাঁ
"বৃষ্টির দিনেও মুখটা খারাপ করতে হবে,, সাওয়ার নাতি",হ্যাঁ
কথার সাথে কাজের মিল হলে অসন্তোষ আর থাকবে না। এটা যদি সত্যিকার অর্থে   বাস্তবায়ন হয় তাহলেই ভালো। আপনার কাছ থেকে তাই আশা করে জনগন। রুবানা  হক এর জন্য অফুরন্ত শুভ কামনা ,না
শ্রমিকের গায়ের ঘাম শুকোবার আগেই তার পারিশ্রমিক দেয়া উচিৎ কিন্তু এগুলো এখন লাইব্রেরীতে ঠাঁই নেয়া বইয়ের পাতায় বিশ্রাম নিচ্ছে।,না
খুবইসুন্দরএকটিখবর সঠিকসিদ্ধান্তনিয়েছে সবাইকেধন্যবাদ,না
আপনি বিনা প্রতিদ্বন্দ্বীতায় নির্বাচিত। এ বিষয়টাই আমার কাছে অযৌক্তিক মনে হয়েছে। ,না
মাল,হ্যাঁ
খানকি বেদি মারা খা,হ্যাঁ
তুমি একটা চুদির ভাই,হ্যাঁ
আসও গুয়া মারা নিয়া যাও।,হ্যাঁ
কুত্তা কামড়াইছে তোরে?,হ্যাঁ
চুদা খাবা?,হ্যাঁ
তোমার শাউয়াতে অনেয়া জ্বালা ।,হ্যাঁ
হালকা মুতে শুয়ে পরও।,হ্যাঁ
কুতকুত খেলবি ।,হ্যাঁ
একদম লাগায়া দিব ।,হ্যাঁ
আয় জাইগা পাট ক্ষেতে  ।,হ্যাঁ
দুদু খাউ ।,হ্যাঁ
খাসা মাল ।,হ্যাঁ
পিছন দিয়া ডিম ঢুকায়া দিব ।,হ্যাঁ
তোর কি কামড়ায় ।,হ্যাঁ
আরেকটা বোকাচাদা ।,হ্যাঁ
পুত কইরা দিমু ।,হ্যাঁ
কুত্তার ছাউয়াল ।,হ্যাঁ
খানকির ছেলে কি করিস ।,হ্যাঁ
এই চুতমারানি এই এই ।,হ্যাঁ
তোরে থাপরাইতে মন চায় ।,হ্যাঁ
চোদা খাইছ জিবনে ।,হ্যাঁ
এমন চোদা চুদব ফাক হয়ে যাবে ।,হ্যাঁ
অথচ কিছু দিন আগে তিনি বলেছেন গার্মেন্ট শ্রমিকদের বেতন বোনাস দেওয়া নিয়ে শঙ্কা আছে?,না
না হলেই ভালো। আপনারা তো বিদেশে সপিং করবেন শ্রমিক যেন দেশে করতে পারেন সেই সময় টুকু তারা যেন পায় সেভাবে ব্যবস্থা নিন।,না
"মুখের কথায় যদি কাজ হতো,তাহলে দলিলের কোন প্রয়োজন হতো না।",না
আমরা ক্ষুদ্র ব্যাবসায়ী আমাদেরকে বোনাস দেয়ার কেউ নেই ।,না
কে বলছে সমস্যা নাই মালিক পক্ষ বেতন দিতেছে তাও আবার গোরস সেলারির ২৫ দিনের ।,না
"২ তারিখ বেতন দিলে,, বাড়ি যাবে কি ঈদের পরে ।",না
মেডাম যারা বেতোন বোনাছ পায়না তারা তো দেশের  কটিকটি রেমিটেন্স আরজোন করে ।,না
শ্রমিকের দিকে ভালো করে নজর দিলেই আপনাদেরও অনেক ভালো হবে ।,না
রক্তচোষা মালিকপক্ষের কাছে প্রস্ন আপনারা প্রতিবছর ঈদের সময় শ্রমিকের পাওনা বুঝিয়ে দেওয়া হবে বলেও দিতে চান না কেন৷,না
২ তারিখে শবে ক্বদরের ছুটি। ২ তারিখে কিভাবে বেতন দিবে?,না
গরীব দের সহযোগিতা করুন।,না
মালিকরা অপনার কথা সুনবে ।,না
অভিনন্দন। জানাই।,না
তাই যেন হয় তা না হল গরীব মানুষের ঈদ যে হবে না,না
ধন্যবাদ ।,না
আরেক বাটপার মহিলা,না
আসলে শ্রমিক দের নিয়ে সবাই মজা করে।,না
দারুণ ।,না
"মেম, আপনার ইচ্ছে শক্তি অনেক ভালো ।",না
গনতন্ত্র ।,না
আলহামদুলিল্লাহ ।,না
এই কালা কুত্তা   ।,হ্যাঁ
এই শালা কালা বান্দর ।,হ্যাঁ
শালার চেহারা বান্দর এর মত ।,হ্যাঁ
এই শালা তুই এত কালা কে ।,হ্যাঁ
কিরে প্রতিবন্ধি ।,হ্যাঁ
চুদির ছেলে ।,হ্যাঁ
চুদির পোলা ।,হ্যাঁ
খানকির পোলা ।,হ্যাঁ
শাউয়ার পোলা ।,হ্যাঁ
মাগির পোলা ।,হ্যাঁ
মাগিবাজ পোলা ।,হ্যাঁ
খানকির ছেলে ।,হ্যাঁ
আর কত পুটকিতে তেল দিবি ।,হ্যাঁ
তোমার হোগাতে অনেক তেল ।,হ্যাঁ
হোগার কথা মারাইছ না ।,হ্যাঁ
হোগা মারা খাবি ।,হ্যাঁ
হোগাতে তেল কত ।,হ্যাঁ
এই বান্দির ছেলে ।,হ্যাঁ
বান্দির পোলা আইছে কইত্তে ।,হ্যাঁ
বান্দির পোলা হোগা দিয়া বাশ দিমু ।,হ্যাঁ
বাশ চিনছ খানকি ।,হ্যাঁ
এই মালাউন খানকির পোলা ।,হ্যাঁ
মালাউন চুদার টাইম নাই ।,হ্যাঁ
এই মালাউনদের পিটাইতে হবে ।,হ্যাঁ
মালাউনরা গরুর পুতা খায় ।,হ্যাঁ
তুই তো শালা একটা মালাউন  ।,হ্যাঁ
মালু খানকির ছেলে আইছে   ।,হ্যাঁ
মালু যা মুত খা ।,হ্যাঁ
মালু দেরি চামড়া তুলে নিব আমরা ।,হ্যাঁ
মালুদের বাঁশ দিব ।,হ্যাঁ
মালুদের গুয়া দিয়া বাঁশ দিব ।,হ্যাঁ
যা শালা গু খা ।,হ্যাঁ
তুমি অনেক বড় চোদনবাজ বুঝতে পারছি ।,হ্যাঁ
অই শালা চোদা খাইতে ভালা লাগে ।,হ্যাঁ
তোর লাউরা কাইটা হাতে ধরায়া দিমু ।,হ্যাঁ
তোর ধন তোর পুটকি দিয়া ভইরা দিমু ।,হ্যাঁ
এই কালা মাগুর ।,হ্যাঁ
তুই তো একটা কালা পাটা ।,হ্যাঁ
তোর পুতা গাইলা দিমু ।,হ্যাঁ
তোর বিচি দিয়া আমি ফুটবল খেলমু ।,হ্যাঁ
ডুবাই থেকে ধেখছি ।,হ্যাঁ
"ইনশা আল্লাহ্, বাংলাদেশের জয় হবেই হবে।",না
শুভ কামনা বাংলাদেশ জাতীয় ক্রিকেট দল ।,না
আমাদের ম্যাচটা হলোনা ।,না
নারীর মনের সাথে লন্ডনের ওয়েদারের তূলনা দিয়ে বিবিসির সাংবাদিক প্রমান করলো কী প্রমাণ করলো আমার বুঝে আসলো না !,না
বৃষ্টি হতে পারে ।,না
প্রবাদ আছে যে তিন ডবলিউ এর নিশ্চয়তা নাই ।,না
খেলা হবে???,না
 গ্রেফতারি পরোয়ানা জারি ।,না
নারীর মন ।,না
আলহামদুলিল্লাহ ।,না
এখন কয়টা বাজে সকাল। ,না
নারীর মন!!! নারীদের অবমাননা করা হল!,না
"হাসিনার কাছে অনুরোধ, তিনি যেন বৃষ্টি বন্ধের জন্য ম্যাচ শুরুর আগে থেকেই দোয়া শুরু করেন । ",হ্যাঁ
